address,amount_pht,vesting_days
0x135175b0208b073741400B335b029dEaCb320471,24391763,0
0xe6ccadfb043a84c898ba7608f5c834f44903a43e,1847941,90
0x19b3D4Ba1eBE67d3308395dE3046b1b090ef5164,4923970,90
0x9985df97fb7dfa5f1c81d5019a18b3c7c8bedf10,125000,90
0xc06Fd42a3E9437e9cF3946d75C8040425CEA1e98,251890,90
0x43e5671bE59f5064270B6AA4a4A0589f338E4a73,4309926,90
0x540b14e4bd871cfe59e48d19254328b5ff11d820,369588,90
0xaad3F0AF012630A2F218AbD5e795619d90A85E6d,1377835,90
0xC10f616983b31C6742e04F217d49706544218825,1472294,90
0xf2b312b614762ff58cc290a429fb344440e7869a,3847941,90
0x113f13f8292572De314Aa0df55e6ef4B711D8F37,1000000,90
0x8a4D95B8f61D17637F8827E221e4a5a8a1D37e57,4619852,0
0xF381a445647a84af29B5Ef3F0796659964A6DC76,2150000,90
0xBCdA41E1eca7f8626e502EA1684a5F7Fa069f58c,246392,90
0x2754192613f4526a1FC1EBF8620D6F73Ab91cA54,153995,90
0x3187c4bdb802c53b64d5fea6a6ab78f4f4a8ef0c,615980,90
0xD59Ea6D4151783F872c3c4100197e2d7407ac149,5833,90
0x50352B9f4B6c0AED8a9AD001AD8c71bAa6D80873,307990,90
0x841ec9a4d71bBd26932C4880C68e95a6EEc1b479,277191,90
0xd563989087a8f88f3feb5990ac935bd9906f3951,230993,90
0xcaCfc7Ee3208585619F76d8609d6A6f32B7fD5a6,184794,90
0x0383ce6b1d536f71f3b27b25a3f5f74ab9252f5a,1500000,90
0x938b482155D7CF03ff7A7cF69691c8cd0C9bF02e,30000,0
0xd8526353EC8FdC5BF38F2D84d4D82e62a9FdAaa4,99935.09,0
0x00F5D4a45d900429f88B722d9CD67e456772E8c2,8000,0
0x41F971C456ab1B9Adc86CF410586a7B05821FD68,5800,0
0xA5fF9155b23F5994a5ffafBDf77d110F2b788C70,10000,0
0x5954A84576d452E5be3508A33b7cEF698d2Ce4d4,4000,0
0xee62678c2E3a390C76CAC755c981dE2741b42e96,20000,0
0x3337397A1e7d0B5e91F52dfc1de73f69b3bd6394,1995,0
0x3591C7C9b9237d1d2261489C7dB3fb4a4b59090A,4000,0
0x530e853C14241bc79A84a4510815619bb66973E1,6500,0
0x2fE92492a9C6C00415a15b332AD1927B21204d95,20000,0
0x9859c20c4898b2643de580fabe15428721313888,14000,0
0x2c1e258eca8A714C6af936E4ce683d79B94eb6B9,600,0
0x36e93bc92a36e9e391d10c1707bc4b1ea2e0eef4,1700.9,0
0x4fbD906BEef9C9DaF6f0FfB589c1f4578CF996eB,50000,0
0xB0845159B64e66dfd8ce840031eDE8D63ce9dCc8,15000,0
0x800fa31185d635f0a6950e0f5aaccc5413181c84,1580,0
0xA048A9045710AE5506b08c2a57172bf7c02159C6,1000,0
0x0cCB2d0db4d6b9d90FF8d93051cD7c1269747cc3,50000,0
0xF6A117427Ec74a851dD181D3BdFf31a17eD25B51,2065.1802,0
0x6139a624f2d5cc37803f0d99136e3ac387396377,4144051,0
0xd03744A5b3F5c1B4Ba33f5632e2423bb32CF65EB,10000,0
0x75057D2f00DBC04cBB1529c111f258d5dE24f9dA,12750,0
0xB6a499848802b76f87F65e8Fd7F33368A38eEc52,1000,0
0xf567431E6624Fe8070C62aF52753120e8dde7569,5000,0
0x11926DB8bD5E67e236dA530f90A6B5a3C25b005D,10000,0
0x5eB08b376Add73af1F9BbDC76a9bB61c11020C12,2500,0
0x4915b7c0A67612963361F76314C753fAF8bf7C7F,10000,0
0x97a981361272220a936B5cb3801B7D3b8B197bC8,20000,0
0x7276948A0970B93a2EdBB508306d1d73d25ec1EA,4000,0
0xb03576c0fE174A5A2A5888CD9E5F696e49BbD07e,1250,0
0x0135f74B3996297ed9ee1C1715dd7411DeA1B34d,1000,0
0xBc6E1C5bADde4844AF7242dF0997F614b92749EA,1050000,0
0x493e0b61023c24873a710736aeb303de5632a6bd,297619,0
0x1f920a93a890c1c977e52deb2d4a8b0746746e5f,905555,0
0xDc1c8a82906D555BA12C1aD55616c87C760f9B0e,1000,0
0xe483de078f43066d19111f4bf07ae47d7e005deb,12642,0
0x1b0033ca264e89D66Ee5e2634bDaa8e97D1f58Fb,191,0
0x3B04596aA915e2d808CE2be365199aB2424381aa,95,0
0x8bf675b7d0b701849eaa306affa55e36a308257d,1218,0
0x0354dEd5058c5AB4aa42F8260c2Cc08904e7eE09,2191,0
0x8bf675b7d0b701849eaa306affa55e36a308257d,105,0
0x50Ad86C6CEAB6B437E0EB464ed1f9c96dD0bFD88,601,0
0x7895F82357428F38B5738789fEea9Cf74560eb9B,245,0
0x8b056Bc1Fb534B321E7d33c9a3df245129fAD9dE,51,0
0x50Ad86C6CEAB6B437E0EB464ed1f9c96dD0bFD88,452,0
0xc2321b5c69F6de427c7F61Cc45Aa79660a106748,916,0
0x4D14B84f364623EA4e480659a77115d931be3642,5415,0
0xe483de078f43066d19111f4bf07ae47d7e005deb,26650,0
0xc38cd93303Ba8188482D9BF8B1fFe0998A63544F,507,0
0x921a8846e3e32d0818e208272c2be5626eb69ae6,1961,0
0x83dc7560c860b2155b5c074f8806dd0e18607055,9,0
0x3231DE4168E1d4394198e09A4c06b33a5587632f,100,0
0xE8eFb89D51C95b4dCA1c83fcE4319F7950F0F78B,490,0
0x49fe7a6ca43e4e864d5ffc77de381d7fafb6268b,205,0
0x819Fbf3891567A74aCF86ead473feB479E9E4934,980,0
0x81A2b1abd89c36095A5993609F4123542A533940,5000,0
0x7f784b6F2ec06457C82f682DD3c0BDBbD7f9825b,730,0
0xceD162eDaA8a4cE110731d37d2870Dd30a283B94,25000000,0
0x6aE8ae91B4A89b94600afA8DaE311B65a04a25aD,5555555,365
0x766baf86f1418af32c94f10ea010005404a536b7,25000000,0
0xB01172098cCc8a92970D546858e8D7f1E4cEAc62,25269,0
0x9Fd2cd408aD9DB47706F03CA18555e2F89718dF7,9869,0
0xaaCc229C6630D8B0fC480Ab838F59554e715C106,4956,0
0x93fdde7538fb9387b5dc7dca57d3b8c7d0b7ec7a,1394,0
0xa1c86fd809A02a51217735a37A9953C6499c129E,1005,0
0xe27Ff2A34098C24269b5b12258bE2046A84e35b7,4796,0
0xeE8C9489d9751f4b1532Adc8DD133bf0BeA94804,2502,0
0xB972f3073c7fCFad89C9b5559Ee1bf494F6Ba952,1050,0
0xAcA9fd46Bfa5e903A75fb604F977792BD349A1Af,3345,0
0x3b86d96a5a573c7de327df76218f06ca13e9079b,79,0
0xcd1B4caAE841AF6d32F65351d3Eb115eCFF12beD,1275,0
0x67cb81b35b0e290aae888e1b0c4125ad3ecc3caf,1255,0
0xE4b8B9bBF27D424Dc44cEb00bFa231F6439D2523,1436,0
0x156bb1a14f21Cc34b3920D7C0C948A350C8F7fE7,3362,0
0x9957271b709EBE314ADB62257c32eEd6081eB404,89,0
0x43134215B504233AA39Bb7b0980fE35B5bB441D1,2436,0
0x06A4d103F207A4EE04B97Ad5ACaCBFb8Ed7756A2,1595,0
0x6b2d6d03bd3f3dc35eb28b12004a91e5ba37e356,1367,0
0x64d0d64ffe10af2c85fc7810281e602dbddcb162,959,0
0x496236DA480737487766aDBC4035C4d1DF2662cf,7235,0
0x68A72e24849559412bfE78278F017E78ea0aa871,9626,0
0xF82101438765A7d4900209631255dF4D1451EcD9,481,0
0xEd1154145b6E2094aDf9CF6253042b98Dc849Ad6,719,0
0x2F0DAfCeF6D5bC843d842d56030b672C2cbc7a83,33754,0
0xE2dc929A085AFdcBe8993853Fa59615532F2B730,532,0
0xC1689af205d6005E4d52aeBfdedb9Db32e29a03F,274,0
0x214036Aff0B6F623ecA1912aFa7c4B2514c1d5bF,499,0
0x0c228eb5e371c91ca23da8cbdaf69625e4323e16,10234,0
0x6114fd863e636Ef814F5D3D657562ac90c18f369,1625,0
0x5CdD0D968FE1C96Cb85A9fB8182c4Bfb7550c756,1255,0
0x18Ef3fdE1C19A24c9e5fc5cdAfC0B6497e2cbeEd,150,0
0x65fD540B9e63F8573a3e1e36761DBCf78225aceF,517,0
0x72bD8a01cd9514242f0D92aD074b2ec96338cF85,5,0
0x238dd39208FE325bE85F337411E1E96667E88Edb,392,0
0xd54c7889B3c46C0814E962a25CCfe2BBFfCC3924,3251,0
0x529e5d463d880a8b37156cfd314904fc6a5ee821,663,0
0x53479feAa62fB658825960EA131ad74dF37d098B,13416,0
0xb78cf6aa1d29895d556bfa409249a732e36963f4,6717,0
0xa668677224aba9f211e47b167f034a9dcb936f23,610,0
0xbD7d816fBe7Cd5Edd8723028224155e07fe0009C,1307,0
0xfa8ad366ca4a9b47b54b003cc485e4b3db2f0202,66,0
0x9a56a79ac28555f2b9e420fc14af16572233cbdc,3072,0
0xea1d4f1c6da0508c3fe93969ca19d80915b45668,13072,0
0xf2acdf7935259764a20f1018b2e747b500eb0ca0,4647,0
0x090cBb66EFfcEB8dd538d8A887291197AB778579,3963,0
0xdb7349772f54a8eb4790c2e50f2061d4e5c01fcc,441,0
0xFAd7C3bA48b86d834b20b13CC5274B865Ce311e5,1660,0
0x60C14008b5ec8Bab7182e4442cA2898e4A940d24,2519,0
0x0A87a2F700A04E9a00Cd68af597d8dA3F8BbD7d8,930,0
0xfED8EaC5c0A82c3291977FB3BCf1Ad52e57b1b9b,2704,0
0xFB418f52d73A4C28d69A9d3983c6B53Ff8742d35,3387,0
0x6169B45346B434Ffd8cc3c0Abcd55bb2A9E95a18,5525,0
0x7a3553256baf90f17e134b0ec66694826ce82a60,1253,0
0xB54701D78fE545c20A9b71B41C42BFa1A2bA0F85,3681,0
0x3d471Da02414D7d412243F2A798292c0F65B559F,1074,0
0xD6c20e82fEA258743C1940116f5eB371B3f574e6,859,0
0xF7F8eA914A37bA55bf267f5B7d59147786d97045,1566,0
0xaCd10c33A75539Bd181a991c9DF3F5682C80460d,3580,0
0x4063F57331B29ABcBeEb4664eBe9C3A99Cf3bDFf,1165,0
0xbcC0f2Fd68bfcc2a4B00bF8421b45Cb4D02008AE,2330,0
0xE4bA741A6D41D5a84223dB5A5dcaAb7e54B71473,201,0
0x7CF81732CF7EaC67A9d1e001AEA8165bC52A3E2c,5146,0
0x1e03bf75c0B9Be37605ab6Acc44f6124f32A9c88,3606,0
0x054d9871cDFBF3F9CAC2f9aa6ec388D7e2c63B58,1107,0
0x477663b2a416eeb11ec79c7b5e2d8e07cf07af58,242,0
0x575426bcC6064c30C6Cc51899d92404a391584b8,909,0
0xfB95e977649679fF7ecBBEE3AbC464D12c955A60,5763,0
0xAbB0bD1360234C633D2589dF384E4caB0272bA17,5179,0
0xe9f91069146b680607ec57a92225505479909ae4,256,0
0x0ca164920aec3732229e302b0d314528e7bd8125,1053,0
0xC1bd26831C8dF7312Ba7aeEcD1BB93a9c06dd333,6755,0
0x090aCd31bb9e59d816c568E8322f8f87cF885125,13320,0
0x5d61b03b7D20379CB826a8d95DcC0d8287BD0Abd,1722,0
0x8A2E713B4481b7AE5181734CEf1D423eA94a5786,52014,0
0x047480076EF222349b923E056a25ddf80a9697e2,3983,0
0x4a729009445260f9928289Fcb01FC9A152a862d7,3329,0
0x830E3A6766C753e041aa5B78e94213972a99D400,1685,0
0x3dd3bb43b76b4fa39a7d147036d1c87866e1f591,957,0
0x751ff0df684ed233b7cd984eb20ffd5f789831e7,829,0
0x928C334AE4DaC05DcC9bF7CD85464DA2C8a539bF,1625,0
0x07F9FA13cDF9f487E0aEd117682f331404Ec494d,19505,0
0x48AA936a824C48d295fe7ADEaaE8DB10bCCcA857,650,0
0x9E8CBBd4b9fD1Af84bF5fedafe053113Fe936768,2601,0
0xe39622d062346b29F6a6ef96cBd624d7f06E328C,13792,0
0x0D2329737bBdBd9e7065a2d5B886C075C74282Bd,108,0
0x0c4ac853d4b714d53e6f103a0d77b5f20e4c620c,195,0
0x9ae5Bb8480fEC6Da1A7d5F6b135591A5b1905F96,650,0
0x6d09363a4079da6ad2a626d4f182528bb9941da8,818,0
0x00Ef0c1BcCB4264470f49F6a0C95f702a881198b,6501,0
0x8f8773c426d912d53b555da4088b4cfa96ec5636,710,0
0x14dC6e61C83bBe23747795D126227831D0Daf118,6502,0
0x6c5Bc86E54f0fdf294f18CdDfb6F2c44aE87682F,3589,0
0x2c85b7a37e2e419B2142b1F8a37e8d72671e9C33,22347,0
0xF19EfF92f2b2C15Ca68204A8fb4874a9C4ffD2E4,1292,0
0x2d82decb74afa82d4143950a60c1557d707cb4de,325,0
0x0463c05c0C82397fF4d9410Fa53495998Fb739A1,1299,0
0x525Cd6559311c91d6d1197879c354B51206c2f3B,6493,0
0x3e793f12af8d223d21b12f62aef8f3e1a4b45031,63,0
0x559Bd5C81176f06Dbf473A04d57E7f7B2e36E10E,23102,0
0xe78396e0bc317e5945014f9c9ef41f5e4bb2952c,1137,0
0xDE1eCA1CC3D15B967fAd62DfC46520db84e92491,1771,0
0xf49A8F8E5eff3ED3B154EA0539e21ca00b948928,261,0
0x85434dB4394458fa96373EccA96e0E84531D2a3F,1789,0
0x7b098Ab4ead04c31076Ee64B63700848b8cec07a,142,0
0x0FCbF19dA79FF20510467D1158ad815F8B3fEc51,2343,0
0x50352B9f4B6c0AED8a9AD001AD8c71bAa6D80873,320,0
0x6A1B8067be4aB32c13Be548c17ba374B95864cEB,825,0
0x1ce19ef598a81a74DE4204d1fB28119106d5b157,692,0
0xB4cc5AE4DCE6a7Da7587272Ac9aC2C6d69f46343,3365,0
0x59ceda34b3fa7bf655687698de76496e64b84487,5024,0
0xe1BEE5023Ce89BC6a6a7f4b954BdbAF992790926,792,0
0x052d97d23fb879e4f0485f54410620e6de896918,19,0
0xb45827c116b112a2008dec787700d39978eb688b,7363,0
0x93f2A066E21DB2847d1688622f7255ae8138eA0D,450,0
0x81720B3644c3034026C254278d7e861e83F6cdF6,733,0
0x48df15e1e6da56f180f8f17b934215939afa538a,7949,0
0x5a6a9079059c38ac5a3e729047933345b6884038,275,0
0x54768b20ad66ff44f5f292482f1f6a476a23c803,146,0
0xb088da0bCD05A7D2C2Ec460D3Eef9B2B614c624b,489,0
0x4B1E1415DbFAaCe5ceB592B5bEccbF6CE4332A43,3591,0
0x38e9391f41adb196f011f412d5cc82950c49e384,8,0
0xae6e39dcbf3c03097d997b017e59d5b06ef65c3d,3574,0
0x5691D951002F9D6C24B5A38875cbebBfF689B74f,21900,0
0x29c7C4eBfA9FDA73793162907e0fa59b42db1332,3651,0
0x97CA58aB54702D01AF3847A1b8f09BB9013fdE03,1161,0
0xa090373d768cc0855a4dd7f0394ca8fbedb04e54,753,0
0x5b4d09dc49942Ec3b1Df28b0001989B732035061,108,0
0xec2e1cc396b1ef918f8fe332e0e8db92c402d8b8,472,0
0xE747F53994efAcD860FdA4919880FA0dB3A088De,1132,0
0x4E036FA5c688ea199A8b36020810a7E182D163c0,1617,0
0x10a418A4C8cf0ec1bf01500f79313241aDaa4Be7,381,0
0x2B5DD0B98f68dBC4005a58614F8509C86c854807,767,0
0x80c5234d721beEd1475B6E6A9d53CFE36BfBA4FC,322,0
0x96dd41ff4608d654620a896f12a16ef7f9e8be28,882,0
0xEddE7d61Da10D5E228404f88a86016A22a2CEc57,19303,0
0xc19164de327916a2Bd1940114C5345B629fa3B52,18263,0
0x32e1263d40a0F5bee68dFCD38262aa76542C43F2,6823,0
0xA474b12e524eFf42836F5cA9ef9259586D935999,3363,0
0xf43CBC3a60A46E369965ce87D24c2112641a26ad,2983,0
0x2089125C1a95C8747ED72e8c8f349A3Ab5B0b41a,2963,0
0x781b5c3A302e6CbAbD40E8Dc032478b936f8B0c8,2483,0
0x63BD6E67aadAC2f0477B64A1c9aFadA5240a3cd1,2383,0
0x3c9F2E77C5B7AD87Ae13D8f855ceD9317a1Cd452,1843,0
0xFE52d11e06fB02FBDA6AB86090714cD4F9F9d5Fd,1383,0
0x7D091c0d95b4B40e443DB3bEDeBb3F72D430fd70,1343,0
0xb6FE6B95f177aE1e329Bf7E6a399D695cf8E2bc3,1283,0
0xD5B15afa09f77C0Db7E29bf921Fd62d2fc68a686,1203,0
0x732212dA9A7f622A64D734CC03675cADF0AE5322,1163,0
0x267a57C1C346f270565F090f6D29B2E90c200AcB,983,0
0xd84cD30cCEeA61e6D14D97BdAf22E0a8C55fcF1A,903,0
0xA460Bb1D4AA3fE82faFC285404d5845980D2a808,863,0
0x4D0631866Da0f2a7bc3C392d35ca823f60A7876A,823,0
0xf437038d53d0Cb5fA5082b4c0B3B7DCc85ed3225,683,0
0x1c39a1B6941D7D6142512aC26d5d9cE6f2b51aFc,683,0
0x42558f1Da0d38e9c9272285828763F8e046D673C,663,0
0x5C74a2E750473f2ca8803e4a95756C3A35036F49,663,0
0x853b91A3Cc48320EDE896F984190Eaa46F8a4D2a,663,0
0xa6755420cDF7f96B35453898ba8e245bb2488420,663,0
0xf4F3548874ea9d1AD9840473248d62b43c34A183,623,0
0x89217Cfd0F4d9b6A7dc2bfFD2Bb5Edcab98c6350,603,0
0x9e14fe1e57ff05ae1cb51396e2342dcb21daf7f1,603,0
0x3bdc4a8EC9F88802D66a1ada81CDd952432AAf68,563,0
0x300dBe667D7142469c4114012b92aCe168D88A31,543,0
0x03f02678019Bc76cdB0d36535Cc96a456110A359,543,0
0x2bb8753621a44305Dc9600D813dEB42Eb3E015B6,523,0
0xe1C8A50993D6c4fE395014888dFbbD48cBe06508,503,0
0xfeA47816f99F3850984125631159042768D0773a,483,0
0x010D7943aee027Df2fE943787C7f6366b41856f0,483,0
0x7b16cC92Eec93B6Aae4e8A94309AF0374F9dDd88,463,0
0x9e2cF5E426a4298441E11b99aB5cE3C43c0F9461,443,0
0xEa08C6F684C62B0c76BD5ac63872e5244B628e95,443,0
0x47013694B09aBF2C366Da226F2f8B0a35A14d11E,443,0
0x5123bF2C2390Aafd4E733e3D876cC5C8fDB59176,443,0
0x55e7e1e811c7A624146215D92E45CEc51d6D12ff,423,0
0xffb9a31520965ee021d634af67ea2ac6a1606bf3,423,0
0x22f530f5b2E211ef24796e5aC9493ecCC0dA5cb5,403,0
0x22cf08783F741467C8264035c13e0eBD4F4275BF,383,0
0x69b5c3ee8c66EF7D30ecA14f03D9565E81bb0E14,383,0
0x6BAb8Eb30BE4f482357c84Ea5873ea127843Cf77,383,0
0xB9E77BEc2b8eBA7f0AfAdb16B81D4d3Ee889b315,383,0
0x8B8d2e4B38166bEF8d73F3aD7D2B3854001e11bd,363,0
0x74EffCc9CE665A6C71cF7D1a6885b0cF618cB040,363,0
0x90F42e90CCBE64f437F21bc653Fd275CC45bB0b7,343,0
0xb2C39b4EBEC9Ca8FBbDf405E6F244917B8d0Adb7,343,0
0xCfa14D040072c918902641e8F351Ee9a03F2aEEE,343,0
0x43756736D70100cE8B96D26fa8017C72BB82880c,343,0
0xfC2DA3Ad56B7CF6337a25DA16680173808760ddF,343,0
0x005538CB4891718a796F868023F924E65B616208,323,0
0x9A125Ef4CfeB006FF53c468701619B89F640C2a9,323,0
0x9e71eBfdba7A65A01e801A88210268B9FBf457Cb,323,0
0x4f68dD9DcDfd0e5297382468103B9E4dc52caBD4,323,0
0x104853FF34746013C448eCdb31D446F0E53Ad918,303,0
0x1d13D304FaABBAbC07fAB85a0755CFb0A0513816,303,0
0xf056AB0D765a0AD5F1eA8B5f68c12e853474BE24,303,0
0x494260F601b00d2Cb256433B33BA29E54c74A7c0,303,0
0x1918bB8caA19B405E41d2003a6A4771d6E6C892d,303,0
0x3D50d0545B70C3663a5DC638D1ee2C90b10a001d,283,0
0xEf8F9211e1EC881547E8ee52FcBcA03e0A7bd706,283,0
0xE9189e76aBF7c2d78bfB8A93E18c40C17ee58047,283,0
0x6B4f8365dCd39058d4272bf05d315ee8bb74A696,283,0
0xa85ceD8Ae4b8D0BFD4F55020D719da86fc6107Ac,283,0
0x59370519f834ca027642d7b43b3483cf1d123500,283,0
0x87F18D617daF3d2A124881f78bfB84CFF3492d99,283,0
0xB9795f9F10C8Dd11bFB7bc6fB178E1E9A3c4E9e1,283,0
0xF4063EDE940891527DB2b0eb30E6FCa425522214,283,0
0x908E8E8084d660f8f9054AA8Ad1B31380d04B08F,283,0
0x39552D7aaDa1AB24DCd12FB17F5B077B8c5ea231,283,0
0x64db62B8cdf29fCc98BA6FB68fFE18413bE882D5,283,0
0x15444b3A49724F93fAdb703439d45a4EC558d3A0,263,0
0xf0d578FaD057063C94b7D35252ee540c66A7d427,263,0
0xd6F7f0481A71AA25d917f7BFBBC820E01C183cbd,263,0
0xCda8676Fb0A676b7Faa5d220744De02BBe37aCa3,263,0
0x15068208f012693e36A9dF7a4C4374AF679Bc3bd,263,0
0x23807ec9d1E06249436576f2204297424503861b,263,0
0xEDC4ae907D8F0E34826A9a0c1b694bcBe3f6463C,263,0
0x02d8345a70454872ef4ded432886280ec55b8227,263,0
0x802A7FD4C30318E0730FB1B2D665e59aa336A649,263,0
0x0Fe6dcb87c4e13aD0468e0B057f5Bc63b9336191,263,0
0x73Ee84e7Facf9d25739216897F3bBe88fc9EDadF,263,0
0xfe345A2536d205e976a62e377562178f5F5045D6,263,0
0xC592082e8F81f38F87e364D5A8aB5fD417EBbB39,263,0
0x8B09FA298C533FcCB807f22f6eC2e3669b693Da7,263,0
0x70F5fDE2B1620744C7974F47A680F3CD84722B5e,263,0
0x5adAad1A4e292f2DA955eDdB075489184823FCA8,263,0
0x0095B77ceB0178AAa38DC14a13C95a902d021BED,243,0
0xAf5DC56119E7d29bdD17E1e134521F5721c1e45E,243,0
0x2250b8F6277A793EBBC61C666194CEB790Ce2f43,243,0
0x95032f00fcd746fe86fc32387a94d0b497da44ba,243,0
0xBc16391fbe76b1581cef2DDd0dcD96a373a81597,243,0
0x3eb643b2b3bEFd64F9240D4F90712252FBB807e2,243,0
0xa0Bc34E352B9b3100A9D3d8a609B0DFB4bE77594,243,0
0xf9ac42ffBE38f00D7208F0a997F1B9690F8cc99F,243,0
0x3d7d2dd32f87D0c4B6D7981e600D8CF4c312488b,243,0
0x49Ed6cDA90Ef9375d7250cf4C6E6D11Bf573710d,243,0
0xaC151941dF6C5B188A9CE233ca5549344495E605,243,0
0xb4E242A6C105E608b9ebaaBBF060BA6D098fEBd2,243,0
0x8A251D41D2fCF3435BbCE0c28E856dD5DE44EB54,243,0
0x654B45D060FA7B9aa958a31fBC9c75B8ADC51121,243,0
